id,rendement
1428,0.0047900168217
1429,0.00431063910487
1430,0.01838102225483
1431,0.01511908097506
1432,-3.573822123e-05
1433,0.01795953958842
1434,0.0022413079470200003
1439,0.0073155381324500005
1441,0.006620673187229999
1442,0.008805251641139999
1443,0.00471131221719
1444,0.01844866763065
1445,0.020933648488940002
1446,0.007111272200070001
1450,0.00541233766234
1451,0.00914414722583
1453,-0.0012276360867900001
1456,0.00025726141079
1457,-0.00253964381556
1458,-0.00166443153032
1463,0.0011476115335
1464,0.00132601156069
1465,0.00922913676753
1468,-0.00741119736533
1474,0.018986073148510002
1475,-0.00218925233645
1476,-0.00483577633008
1481,0.005888040712469999
1483,-5.898354123e-05
1484,0.00137645941568
1485,0.00186329426446
1486,0.00488620132629
1487,3.942348163e-05
1488,-0.00998443722278
1489,0.00825768667643
1490,0.00977331606218
1491,0.00265955176094
1492,0.0023206160308000003
1493,0.00441111111111
1494,0.00413587977458
1495,-0.0077666810159300005
1496,0.00688939307998
1497,-0.00248470948012
1498,8.248943073e-05
1499,0.00093900102729
1500,0.00096004285741
1501,-6.01820507e-06
1503,0.00469143446852
1504,0.0045276216321
1505,0.00521134161045
1507,0.00763377926421
1509,0.00462444632928
1514,0.01443210219384
1516,0.01058494783905
1517,-0.00072038484666
1522,0.00573248407643
1529,0.0030521361332399998
1538,0.005538687561209999
1551,0.0033130929791300003
1552,-0.00479069024286
1561,-0.00134371957157
1562,0.00245793708851
1563,0.00407214111118
1564,0.005658122317499999
1567,0.01689649407246
1568,-0.00037298695202
1569,0.0014107279693499999
1571,0.008227211147670001
1572,0.0019420368364
1573,0.013767777128380001
1574,0.00605912005761
1577,0.0087421686747
1578,-0.0039154929577499996
1579,-0.00718564679867
1582,0.0044451193058600005
1583,0.0076170694864
1585,0.03321940463065
1587,0.00451354062187
1588,-0.00123125
1590,0.00556020942408
1591,0.02239606474135
1594,0.00053618421053
1595,0.00952629466078
1596,0.00665056879159
1597,-3.864095143e-05
1598,0.00815007743207
1603,0.01796031746032
1604,0.0076563439567
1605,0.00549453409682
1606,0.00565426997245
1618,0.0056481808548199995
1619,0.005619047619050001
1624,0.00953231939163
1728,0.00485762579639
1729,0.00726296332682
1730,0.00964141821112
1731,0.01910891089109
1732,-9.462548768e-05
1733,-2.8009881899999997e-06
1734,2.60433545e-05
1735,2.558727548e-05
1737,0.005412439621400001
1738,0.00728105451296
1739,0.027299083671319998
1740,0.00664154498351
1741,-0.0029375914188199998
1744,-0.00047460757155999995
1745,-0.00998970190618
1749,0.0014482882237
1750,-0.00126919733411
1753,0.00152340597256
1756,0.020487804878050003
1758,0.0016327496450500001
1759,-0.0009196261682200001
1760,0.00750217732102
1763,0.00332179930796
1764,0.01683732452519
1765,0.00337939698492
1771,0.00026897894177999997
1772,0.005580972579909999
1773,0.00021779425394000002
1776,0.00234673366834
1777,0.005937142421240001
1778,-0.00012498788877
1779,0.0031617383163
1781,-0.00257368941642
1782,-0.00330310013066
1784,0.0034816403109100003
1786,0.00558029753506
1787,0.00421046981595
1788,0.00481388802002
1789,0.00724797888137
1790,0.00428571428571
1791,0.01260766834926
1792,0.013150259067359999
1793,0.00732351957176
1794,0.00032531645570000006
