id,rendement_A
1428,0.00069197354007
1429,0.00063191502448
1430,0.00195225245199
1431,0.00170535839153
1432,-6.11888397e-06
1433,0.00192171828666
1434,0.00035178065561
1439,0.0009840641858
1441,0.0009074222944
1442,0.0011401442587099999
1443,0.0006822248922399999
1444,0.00195711793715
1445,0.00212953635839
1446,0.00096180281881
1450,0.00076757825036
1451,0.00117421264616
1453,-0.00022143312854
1456,4.351966596e-05
1457,-0.00048854514302
1458,-0.00030644517477000004
1463,0.00018746697419
1464,0.00021515625488
1465,0.00118267797038
1468,-0.00206287380865
1474,0.00199543450006
1475,-0.00041361850247
1476,-0.00106827612125
1481,0.00082368198724
1483,-1.0108581120000001e-05
1484,0.00022292060808
1485,0.0002964177003
1486,0.00070382908722
1487,6.728858070000001e-06
1488,-0.0066890037821699996
1489,0.00108400758658
1490,0.00123615724192
1491,0.00041140778023999997
1492,0.00036321566129
1493,0.0006446392739200001
1494,0.0006096051499499999
1495,-0.00226079234623
1496,0.00093737089201
1497,-0.00047660788572
1498,1.405442856e-05
1499,0.00015461888814
1500,0.00015795559798
1501,-1.02913023e-06
1503,0.00067975592196
1504,0.00065930295052
1505,0.00074344075616
1507,0.00101831681643
1509,0.00067141503215
1514,0.00164999817301
1516,0.0013136965872
1517,-0.00012700500611999998
1522,0.0008054909372000001
1529,0.00046590882765000003
1538,0.0007826182706199999
1551,0.0005013892161599999
1552,-0.00105499295589
1561,-0.000243677442
1562,0.00038287173178
1563,0.0006014113092
1564,0.00079674222014
1567,0.00184297610197
1568,-6.477483556e-05
1569,0.00022817856482
1571,0.00108084240962
1572,0.00030806951859
1573,0.00159522220773
1574,0.00084351858243
1577,0.0011337465646
1578,-0.00081432377053
1579,-0.00194870643002
1582,0.0006489295735
1583,0.00101653112599
1585,0.0028432744546400004
1587,0.0006575359460799999
1588,-0.00022212194806
1590,0.00078517000543
1591,0.00222570330612
1594,8.969296537e-05
1595,0.00121203441329
1596,0.00091077389504
1597,-6.61667052e-06
1598,0.0010728116816699999
1603,0.00192177498978
1604,0.00102072596739
1605,0.00077737403987
1606,0.0007962880511099999
1618,0.00079556999063
