id,volatility_percent
1428,0.12785219796
1429,0.248468839662
1430,0.253036600906
1431,0.184702869546
1432,0.000221079445
1433,0.284943574734
1434,0.19895969522
1439,0.141936097665
1441,1.104204885918
1442,0.193824868561
1443,0.246882949923
1444,0.205469060474
1445,0.274565241016
1446,0.267562744159
1450,0.254834809241
1451,0.133293079954
1453,0.294270392175
1456,0.220413118811
1457,0.267424534913
1458,0.277261523616
1463,0.240290510472
1464,0.269545580599
1465,0.138006663049
1468,0.36968218874
1474,0.251012569849
1475,0.257777779196
1476,0.296415203074
1481,0.275957413642
1483,0.000186608784
1484,0.055593233636
1485,0.032027771808
1486,0.160352293332
1487,0.000248999202
1488,0.431067165225
1489,0.294748988943
1490,0.26935838687
1491,0.240535714394
1492,0.183836495886
1493,0.249091219713
1494,0.29997986686
1495,0.348899283545
1496,0.206944177403
1497,0.287456824082
1498,0.014414654957
1499,0.040578974783
1500,0.040608937717
1501,0.014482706851
1503,178.970614241099
1504,0.140925402711
1505,0.161035332331
1507,0.271145012726
1509,0.153886545912
1514,0.232920055644
1516,0.250199784411
1517,0.239034971045
1522,0.316686377969
1529,0.218741575606
1538,0.159696301109
1551,0.234259079212
1552,0.376390459175
1561,0.226094217898
1562,0.250948596287
1563,0.059053160684
1564,0.134438363307
1567,0.164045423709
1568,0.035563390992
1569,0.046658766651
1571,0.188396687398
1572,0.194140654956
1573,0.205035643713
1574,0.171895011373
1577,0.178816001181
1578,0.317798242561
1579,0.413809592948
1582,0.128033465859
1583,111.951769248577
1585,0.25334928462
1587,0.255083392719
1588,0.272785851392
1590,0.156951991404
1591,94.591785681933
1594,0.205590438308
1595,0.192622682136
1596,0.113582311777
1597,0.000187289253
1598,0.203578459553
1603,0.244453047132
1604,9.582205517398
1605,0.151649345043
1606,0.151385644257
1618,0.180509457432
1619,0.313619956027
1624,0.342288858286
1728,0.171548323581
1729,0.144499070408
1730,0.238748501046
1731,0.203455587258
1732,0.00017608997
1733,0.000184694988
1734,0.000203976193
1735,0.000115891052
1737,0.157140935526
1738,0.185565507216
1739,0.374251497653
1740,0.220611201035
1741,0.429759487984
1744,0.237845587882
1745,0.406950168141
1749,0.308688933358
1750,0.267430159861
1753,0.222645534903
1756,0.227867363579
1758,0.247780412986
1759,0.214631280233
1760,0.205696261314
1763,0.245051056594
1764,0.251510366394
1765,0.206535172959
1771,0.311577530398
1772,0.200323657017
1773,0.232346886149
1776,0.252583729704
1777,0.113433705094
1778,0.023932747905
1779,0.051030943767
1781,0.230799782018
1782,0.705934154336
1784,0.224107483754
1786,0.122083840375
1787,0.083305433444
1788,0.148691443054
1789,0.196212217163
1790,0.220701931052
1791,0.22947387135
1792,0.204524287765
1793,0.223291334458
1794,0.316515308405
1845,0.330066115195
1846,0.196044857753
1847,0.21114132475
1848,0.282821992242
1849,0.154899811944
1850,0.546377315683
1851,0.585536003722
1852,0.412897210834
1853,0.248417669837
1855,4.980747437953
1856,0.294058434169
1857,0.456532387841
1858,0.199487325322
1859,0.579870455923
1860,0.378516827742
1861,0.520788776157
1862,0.281082375556
1863,0.517033366489
1864,0.221810312656
1865,0.246752167812
1866,0.298826390585
1868,0.325352034732
1869,0.946039073016
1870,0.220063276119
1871,0.1893384852
1872,0.233843047639
1873,0.320041137959
1874,0.333035514244
1875,0.239463350059
1876,0.254618290939
1877,0.257454978493
1878,0.24636639613
