id,rendement_A_percent
1989,0.094633774297
1990,0.518691450768
1991,-0.107528570789
1992,-0.237328862735
1994,0.199056788438
1995,0.20329753323
1996,-0.314574697184
1997,-0.253215886523
1998,-0.203701803243
1999,-0.025664985156
2000,0.296740436509
2001,0.194881658052
2002,0.065466748095
2003,-0.059430856318
2004,0.155344899754
2005,-0.244499475845
2006,-0.022569952067
2007,-0.027917280881
2008,0.033158485171
2009,0.188350531986
2010,-0.199566381066
2011,0.048007485879
2012,0.16054342204
2013,0.247011881863
2014,-0.183249811281
2015,-0.007335346302
2016,-0.066822659885
2017,0.077135857904
2018,0.127082239646
2019,-0.003588692421
2020,-0.067472697037
2021,0.082373761422
2022,-0.118738722854
2023,0.309923578929
2024,1.080776273021
2025,0.174797848526
2026,0.153326551157
2027,0.131602644367
2028,-0.185203436877
2029,-0.055722680172
2030,-0.131568288184
2031,0.197867584414
2032,0.279119444013
2033,0.125080999144
2034,-0.037939984729
2035,0.260374593682
2036,0.192305307972
2037,0.073966159324
2038,-0.012700500612
2039,-0.180237932089
2040,0.212389046083
2041,-0.045368447006
2042,0.322492700725
2043,0.14932941257
2044,-0.005234556262
2045,-0.056316236494
2046,0.097841854654
2047,0.039768723821
2050,-0.07929215617
2051,-0.235063811255
2052,0.027650953773
2053,0.272916924056
2055,0.024614914925
2056,-0.015884684236
2057,0.123153706537
2058,0.276518099128
2059,0.072271112635
2060,-0.132283121685
2062,0.144558465226
2063,0.214910732676
2064,0.367882224177
2065,0.133179085076
2066,0.131714298413
2067,0.194528155088
2068,0.074257086687
2072,-0.021167529944
2073,0.096717092817
2074,0.153994084743
2075,0.108441245655
2076,-0.021674512569
2077,0.114128885011
2078,0.09316904119
2079,-0.111656861827
2080,-0.279901762988
2081,-0.0025450668
2082,0.154417444536
2083,0.027947536972
2084,0.029634616722
2085,0.145800103845
2086,0.061669930563
2087,0.301583500786
2088,0.028335129945
2089,0.052580720937
2090,0.166660733666
2091,0.169826114373
2092,-0.020042640591
2093,0.046608689132
2094,-0.054354974285
2095,0.051476908243
2096,0.037712829961
2097,0.255099618997
2098,-0.352993111053
2100,-0.061776715147
2101,0.156480259602
2102,0.097125677593
2103,0.007833500058
2104,-0.032324693892
2105,0.200392115807
2106,0.218504504182
2109,-0.116211418801
2110,0.091966787135
2111,-0.003173316247
2112,0.549662019428
2113,0.082719736419
2115,0.077832840965
2116,-0.015511036505
2117,0.052932788022
2119,0.030698377781
2120,0.360126950822
2122,0.075658971786
2123,0.042741796003
2124,0.033707078034
2125,0.065823084296
2126,0.073851964981
2127,0.065801626367
2128,-0.001739898921
2129,0.135021257936
2130,0.023265256605
2131,0.040507010934
2132,0.050254951695
2133,0.043680207068
2134,0.042720105252
2135,0.083351279752
2136,0.081565099384
2137,0.074007479015
2138,0.08867850813
2139,0.035131409189
2140,0.082054405741
2141,0.061810177582
2142,0.079868812765
2143,0.14171115735
2144,0.135795432385
2145,0.055063763911
2146,0.080108502204
2147,0.144111722021
2148,0.089493906432
2149,0.0287797185
2150,0.028594474624
2151,0.022331141669
2152,0.060993300504
2153,0.05949433051
2154,0.048444086154
2155,0.051365014646
2156,0.030686822836
2160,0.053163813303
2161,0.092163571158
